path,category,size_bytes,tracked
.dockerignore,project-root,135,yes
.gitignore,project-root,290,yes
.streamlit/config.toml,.streamlit,154,yes
.vercelignore,project-root,177,yes
__init__.py,project-root,54,yes
app.py,project-root,115,yes
app/__init__.py,app,37,yes
app/gradio_ui.py,app,180,yes
archive/README.md,archive,149,yes
archive/Satellite_Image_Segmentation_UNet_Urban_Mapping_FULL_ELITE_original.ipynb,archive,1437370,yes
assets/css/styles.css,assets,16904,yes
assets/js/app.js,assets,20324,yes
assets/samples/images/synthetic_tile_01.png,assets,19998,yes
assets/samples/images/synthetic_tile_02.png,assets,19940,yes
assets/samples/images/synthetic_tile_03.png,assets,19966,yes
assets/samples/images/synthetic_tile_04.png,assets,19956,yes
assets/samples/images/synthetic_tile_05.png,assets,19937,yes
assets/samples/images/synthetic_tile_06.png,assets,19964,yes
assets/samples/masks/synthetic_tile_01_mask.png,assets,900,yes
assets/samples/masks/synthetic_tile_02_mask.png,assets,766,yes
assets/samples/masks/synthetic_tile_03_mask.png,assets,778,yes
assets/samples/masks/synthetic_tile_04_mask.png,assets,801,yes
assets/samples/masks/synthetic_tile_05_mask.png,assets,622,yes
assets/samples/masks/synthetic_tile_06_mask.png,assets,832,yes
data/README_data.md,data,2074,yes
data/sample_images/synthetic_tile_01.png,data,19998,yes
data/sample_images/synthetic_tile_02.png,data,19940,yes
data/sample_images/synthetic_tile_03.png,data,19966,yes
data/sample_images/synthetic_tile_04.png,data,19956,yes
data/sample_images/synthetic_tile_05.png,data,19937,yes
data/sample_images/synthetic_tile_06.png,data,19964,yes
data/sample_manifest.csv,data,462,yes
data/sample_masks/synthetic_tile_01_mask.png,data,900,yes
data/sample_masks/synthetic_tile_02_mask.png,data,766,yes
data/sample_masks/synthetic_tile_03_mask.png,data,778,yes
data/sample_masks/synthetic_tile_04_mask.png,data,801,yes
data/sample_masks/synthetic_tile_05_mask.png,data,622,yes
data/sample_masks/synthetic_tile_06_mask.png,data,832,yes
Dockerfile,project-root,340,yes
FILE_MANIFEST.csv,project-root,5793,yes
gradio_app.py,project-root,4628,yes
images/demo_screenshot.png,images,73947,yes
IMPROVEMENTS.md,project-root,1416,yes
index.html,project-root,13585,yes
kaggle/kaggle_notebook_summary.md,kaggle,526,yes
kaggle/README_KAGGLE.md,kaggle,2280,yes
LICENSE,project-root,1071,yes
models/metrics.json,models,235,yes
models/model_metadata.json,models,3172,yes
models/README.md,models,1030,yes
models/satellite_unet_segmentation_model.keras,models,5745603,yes
MONOREPO_INTEGRATION.md,project-root,857,yes
notebooks/satellite_image_segmentation_unet.ipynb,notebooks,1436736,yes
notebooks/satellite_image_segmentation_unet_kaggle.ipynb,notebooks,1436850,yes
outputs/figures/best_segmentation_examples.png,outputs,362719,yes
outputs/figures/dice_distribution.png,outputs,12656,yes
outputs/figures/dice_training_curve.png,outputs,22106,yes
outputs/figures/iou_distribution.png,outputs,12021,yes
outputs/figures/loss_training_curve.png,outputs,21502,yes
outputs/figures/overlay_predictions.png,outputs,73947,yes
outputs/figures/predicted_vs_true_area.png,outputs,27198,yes
outputs/figures/sample_satellite_images_and_masks.png,outputs,76086,yes
outputs/figures/segmentation_error_examples.png,outputs,361468,yes
outputs/figures/threshold_sweep.png,outputs,32416,yes
outputs/metrics/baseline_comparison.csv,outputs,200,yes
outputs/metrics/model_metrics.json,outputs,216,yes
outputs/predictions/README.md,outputs,145,yes
outputs/README.md,outputs,338,yes
outputs/runtime/.gitkeep,outputs,0,yes
PROJECT_AUDIT.md,project-root,2975,yes
PROJECT_TREE.txt,project-root,5134,yes
pyproject.toml,project-root,192,yes
README.md,project-root,15163,yes
README_HOSTING.md,project-root,832,yes
README_HUGGINGFACE.md,project-root,2477,yes
README_VERCEL.md,project-root,5032,yes
requirements-dev.txt,project-root,46,yes
requirements-training.txt,project-root,109,yes
requirements.txt,project-root,165,yes
run_local.bat,project-root,171,yes
run_local.sh,project-root,168,yes
run_vercel_local.bat,project-root,131,yes
run_vercel_local.sh,project-root,150,yes
scripts/__init__.py,scripts,0,yes
scripts/create_demo_samples.py,scripts,1098,yes
scripts/evaluate_model.py,scripts,1599,yes
scripts/export_model.py,scripts,1539,yes
scripts/export_tfjs_assets.py,scripts,6233,yes
scripts/run_gradio.py,scripts,274,yes
scripts/train_model.py,scripts,2690,yes
scripts/validate_project.py,scripts,1375,yes
scripts/validate_tfjs_export.py,scripts,3099,yes
src/__init__.py,src,155,yes
src/artifact_utils.py,src,857,yes
src/class_mapping.py,src,319,yes
src/config.py,src,1294,yes
src/data_preprocessing.py,src,1101,yes
src/dataset_loader.py,src,1362,yes
src/image_preprocessing.py,src,1928,yes
src/inference_pipeline.py,src,2511,yes
src/mask_preprocessing.py,src,1215,yes
src/metrics.py,src,3018,yes
src/model_evaluation.py,src,633,yes
src/model_training.py,src,1253,yes
src/segmentation_pipeline.py,src,2160,yes
src/synthetic_data.py,src,1548,yes
src/unet_model.py,src,1454,yes
src/visualization.py,src,1497,yes
tests/__init__.py,tests,0,yes
tests/test_app_import.py,tests,229,yes
tests/test_dataset_loader.py,tests,308,yes
tests/test_image_preprocessing.py,tests,454,yes
tests/test_inference_pipeline.py,tests,796,yes
tests/test_mask_preprocessing.py,tests,383,yes
tests/test_metrics.py,tests,392,yes
tests/test_model_artifact.py,tests,275,yes
tests/test_tfjs_export.py,tests,318,yes
tfjs_model/model.json,tfjs_model,16823,yes
tfjs_model/model_metadata.json,tfjs_model,895,yes
tfjs_model/weights.bin,tfjs_model,1886212,yes
tfjs_model/weights_manifest.json,tfjs_model,3178,yes
train_model.py,project-root,154,yes
vercel.json,project-root,803,yes
