path,size_bytes,sha256,tracked_recommendation
.gitignore,305,5fbfd9580e0e6747b14e732a112c6a3d01c93475d080f444e823e1d89a7fc92e,Git
DELIVERY_NOTES.md,1430,f3dce18b53d7538d1d0d63cd791e920d621bab855f90b0bdb833877fa055d79b,Git
Dockerfile,191,769a52a57e07e0e438b7205751e1e156f2d4be087d404a250f790559080c2515,Git
IMPROVEMENTS.md,812,7e29a116f92b01c35511b839fc1d2126784baebf08a7ba894c45af3e6553586a,Git
LICENSE,1056,1126322e2cc8d165adc4c792eeb195717de2bcc7b39be1ce77959d78e87ef685,Git
MONOREPO_INTEGRATION.md,362,41fd53b7b9cda654649b1af8bfb2ec573850c68f03b518bc38d33325ffe918bd,Git
PROJECT_AUDIT.md,2404,541c8ecbf65432dd9a02659edf2c14d642cf824bcf6c3c1ad107a3f5175e0de8,Git
README.md,12203,4ec699a39f71d19bb0934bde83e40f916ba84c6b6b60e88837306cbaba809ee5,Git
README_GITHUB_PAGES.md,3493,488fcf1584b2a0f52f1d98f549dc3a302a8cd01b2ca9f1b6b54436d9470d6e15,Git
README_HOSTING.md,3493,488fcf1584b2a0f52f1d98f549dc3a302a8cd01b2ca9f1b6b54436d9470d6e15,Git
__init__.py,53,f0a884cd567847080fd2a80c0ba111f3be512ee1303eff7b2bed905d07e52082,Git
app/__init__.py,76,a67a707e81a8f60dbb7b81d8f5a57886102cf8067b2d1dd9d2ed4e5dc9f5afed,Git
archive/README.md,166,0bd1c5a167571ffb29d2118b5106840b7d97c511e28215abdc573b07d83b9fce,Git
archive/metrics_original.json,237,3c3bc81a103521548a307e28eeb56037b5312936473a6a41897052964460bca3,Git
archive/notebook_audit_summary.json,401,c21c694e41b552bd8de907d1c83c044cf3a47e6c3b73950f16c631f165d2702b,Git
data/README_data.md,697,74d8d56176eaf8363613cd8391ff951bdeb93509b15010205ee2536fbbe0a5d0,Git
data/sample_images/geometric_scene.png,2966,5ff677c04ad9c3ea131e5acf05aec51dace7499411a46f12fe1c843be3c6ef69,Git
data/sample_images/nature_pattern.png,4569,fa1f891643b13925de2b34addeae23c124f04a6b4266d2034a2b966b3d933021,Git
images/model_comparison.png,46669,b8a306ed06bc303887e5c392bb90030a39294f05bbec7c7747fd6816e738f551,Git
models/class_mapping.json,2043,6c4b152b68506791368fe28170b192906d14ae6b8ae1e50b796dfdd64b0cd123,Git
models/model_metadata.json,3025,db43f41c633d8290f390658964d0696a8003062be431209a6b3cb02fb2d827d3,Git
models/tfjs_model/README.md,357,1ea8894eec8cc467c4d38a33d0fa9fd965c0787b832745097223cb16b3187972,Git
notebooks/image_classification_resnet.ipynb,671422,09d9d48d6b981f514d7c5238716746e7ea4655b84c560a5b912b31e794bd9338,Git
outputs/README.md,304,fca077813ffabe970666adf1427b2d42d16a18f943d0bfd0a92ee69b02afba98,Git
outputs/figures/model_comparison.png,46669,b8a306ed06bc303887e5c392bb90030a39294f05bbec7c7747fd6816e738f551,Git
outputs/metrics/GENERATED_ON_EVALUATION.md,344,df709d18f7ea7b7d83baa78f195c437157ab3e0e5d7e112f58e9e814f331527a,Git
outputs/metrics/browser_model_equivalence.json,397,37cffc62e9fbcc285fe7c3b1d9714a8f0dbb7799eaf79982e5ab213b823d5a5c,Git
outputs/metrics/model_metrics.json,218,52a26c23722225193cd7649d19585abf34c952b6e0c516ea0ab106c09f6f44d6,Git
outputs/metrics/project_validation.json,940,5547c7a9db392687e93b62cd5df459854ad34dca0a19e05d240a90f15b312f99,Git
outputs/metrics/tfjs_conversion_summary.json,570,7fbd9e6c1ed0247f310c4143ddfde11ca6bc1659d50547cfc2958e262b1af381,Git
outputs/predictions/sample_predictions.csv,62,8e9ff4b4da671f269134698e5135388756cfe97892b4ca189bbae63eb7f509f6,Git
requirements-ci.txt,138,69962cf852f68b6cfdf41f5fc97e77016288112f5106976606dd9032e29fc3ef,Git
requirements-dev.txt,64,bb69b62e54b538cd5ed47911d81352193986b01b675696c6bde6e4b0d850f8ea,Git
