path,size_bytes,category,tracked_recommendation
.gitignore,440,project-root,git
.streamlit/README.md,221,.streamlit,git
Dockerfile,206,project-root,git
GIT_LFS.md,647,project-root,git
IMPROVEMENTS.md,1029,project-root,git
LICENSE,1071,project-root,git
MONOREPO_INTEGRATION.md,696,project-root,git
PORTFOLIO_POSITIONING.md,1559,project-root,git
PROJECT_AUDIT.md,2031,project-root,git
README.md,12745,project-root,git
README_HOSTING.md,397,project-root,git
README_HUGGINGFACE.md,1148,project-root,git
README_VERCEL.md,3526,project-root,git
__init__.py,65,project-root,git
app/__init__.py,0,app,git
app/gradio_app.py,1697,app,git
app.py,145,project-root,git
archive/README.md,161,archive,git
data/README_data.md,1089,data,git
data/sample_images/cat_sample.png,4298,data,git
data/sample_images/dog_sample.png,4997,data,git
gradio_app.py,145,project-root,git
images/.gitkeep,0,images,git
models/artifact_checksums.csv,2139,models,git
models/class_mapping.json,30,models,git
models/metrics.json,232,models,git
models/model_metadata.json,2678,models,git
models/tfjs_model/group1-shard10of16.bin,4194304,models,git
models/tfjs_model/group1-shard11of16.bin,4194304,models,git
models/tfjs_model/group1-shard12of16.bin,4194304,models,git
models/tfjs_model/group1-shard13of16.bin,4194304,models,git
models/tfjs_model/group1-shard14of16.bin,4194304,models,git
models/tfjs_model/group1-shard15of16.bin,4194304,models,git
models/tfjs_model/group1-shard16of16.bin,800520,models,git
models/tfjs_model/group1-shard1of16.bin,4194304,models,git
models/tfjs_model/group1-shard2of16.bin,4194304,models,git
models/tfjs_model/group1-shard3of16.bin,4194304,models,git
models/tfjs_model/group1-shard4of16.bin,4194304,models,git
models/tfjs_model/group1-shard5of16.bin,4194304,models,git
models/tfjs_model/group1-shard6of16.bin,4194304,models,git
models/tfjs_model/group1-shard7of16.bin,4194304,models,git
models/tfjs_model/group1-shard8of16.bin,4194304,models,git
models/tfjs_model/group1-shard9of16.bin,4194304,models,git
models/tfjs_model/model.json,13097,models,git
models/vgg16_browser_inference.keras,63811325,models,git-lfs
models/vgg16_fine_grained_classification_model.keras,73548911,models,git-lfs
notebooks/fine_grained_image_classification_vgg16.ipynb,568114,notebooks,git
outputs/README.md,700,outputs,git
outputs/augmentation_examples.png,36793,outputs,git
outputs/baseline_comparison.csv,118,outputs,git
outputs/class_distribution.csv,53,outputs,git
outputs/classification_report.csv,199,outputs,git
outputs/classwise_accuracy.png,10238,outputs,git
outputs/confusion_matrix.csv,63,outputs,git
outputs/confusion_matrix.png,13820,outputs,git
outputs/correct_predictions.png,45213,outputs,git
outputs/high_confidence_correct.png,41761,outputs,git
outputs/high_confidence_wrong.png,46969,outputs,git
outputs/misclassified_examples.png,46369,outputs,git
outputs/model_metrics.json,478,outputs,git
outputs/model_summary.txt,8942,outputs,git
outputs/sample_input_images.png,38215,outputs,git
outputs/sample_predictions.csv,270,outputs,git
outputs/tfjs_conversion_summary.json,672,outputs,git
outputs/training_accuracy_curve.png,35268,outputs,git
outputs/training_loss_curve.png,32181,outputs,git
outputs/web_sample_predictions.csv,190,outputs,git
package.json,420,project-root,git
requirements-ci.txt,156,project-root,git
requirements-dev.txt,99,project-root,git
requirements-huggingface.txt,63,project-root,git
requirements.txt,173,project-root,git
run_local.bat,75,project-root,git
run_local.sh,121,project-root,git
scripts/convert_to_tfjs.py,1416,scripts,git
scripts/evaluate_model.py,1043,scripts,git
scripts/export_model.py,529,scripts,git
scripts/run_local_web_server.py,949,scripts,git
scripts/train_model.py,1303,scripts,git
scripts/validate-web.mjs,1475,scripts,git
scripts/validate_project.py,1591,scripts,git
scripts/validate_tfjs_artifacts.py,1844,scripts,git
src/__init__.py,436,src,git
src/class_mapping.py,1440,src,git
src/classification_pipeline.py,422,src,git
src/config.py,1223,src,git
src/data_preprocessing.py,1700,src,git
src/dataset_loader.py,2748,src,git
src/image_preprocessing.py,3134,src,git
src/inference_pipeline.py,3514,src,git
src/model_conversion.py,5329,src,git
src/model_evaluation.py,2341,src,git
src/model_training.py,1978,src,git
src/utils.py,807,src,git
src/vgg16_model.py,2638,src,git
src/visualization.py,1702,src,git
tests/__init__.py,0,tests,git
tests/test_class_mapping.py,570,tests,git
tests/test_image_preprocessing.py,1153,tests,git
tests/test_inference_pipeline.py,1001,tests,git
tests/test_model_conversion.py,549,tests,git
train_model.py,156,project-root,git
vercel.json,529,project-root,git
web/app.js,9930,web,git
web/index.html,6414,web,git
web/metadata.json,1063,web,git
web/sample_images/cat_sample.png,4298,web,git
web/sample_images/dog_sample.png,4997,web,git
web/style.css,8878,web,git
web/tfjs_model/group1-shard10of16.bin,4194304,web,git
web/tfjs_model/group1-shard11of16.bin,4194304,web,git
web/tfjs_model/group1-shard12of16.bin,4194304,web,git
web/tfjs_model/group1-shard13of16.bin,4194304,web,git
web/tfjs_model/group1-shard14of16.bin,4194304,web,git
web/tfjs_model/group1-shard15of16.bin,4194304,web,git
web/tfjs_model/group1-shard16of16.bin,800520,web,git
web/tfjs_model/group1-shard1of16.bin,4194304,web,git
web/tfjs_model/group1-shard2of16.bin,4194304,web,git
web/tfjs_model/group1-shard3of16.bin,4194304,web,git
web/tfjs_model/group1-shard4of16.bin,4194304,web,git
web/tfjs_model/group1-shard5of16.bin,4194304,web,git
web/tfjs_model/group1-shard6of16.bin,4194304,web,git
web/tfjs_model/group1-shard7of16.bin,4194304,web,git
web/tfjs_model/group1-shard8of16.bin,4194304,web,git
web/tfjs_model/group1-shard9of16.bin,4194304,web,git
web/tfjs_model/model.json,13097,web,git
